甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
周日，乐乐一家开车从青岛市区去胶南郊游．去时每小时行60千米，1.5小时到达，返回时用了1.2小时．返回时汽车平均每小时行多少千米？	60*1.5/1.2=75.0	{周日，乐乐一家，青岛市区，胶南，郊游，开车，去时，每小时，60千米，1.5小时，到达，返回时，1.2小时，汽车，平均，每小时，行，多少千米}
小红家有4口人，上个月家庭用电共80度，每度电的价钱是0.68元，平均每人付电费多少元？	0.68*80/4=13.6	{小红, 4口人, 上个月, 家庭用电, 80度, 每度电, 0.68元, 平均, 每人, 电费}
一列客车和一列货车同时从A、B两地相向而行，6小时相遇．相遇后客车又行了4小时到达B地．这时货车还要行驶多少小时才能到达A地？	6*(6/4)=9.0	{客车, 货车, 相向而行, 6小时, 相遇, 4小时, B地, A地, 小时}
“6一”期间，中央商场搞“家电下乡”活动，农民伯伯购买家电时可享受政府补贴13%的优惠政策．张大伯家买了一台电冰箱，只需付2784元，这台电冰箱的原价=多少元？	2784/(1-13%)=3200.0	{“6一”期间,中央商场,家电下乡,农民伯伯,政府补贴,13%,优惠政策,张大伯,电冰箱,2784元,原价}
一群鸭子共960只，其中有580只在水中，其余的在岸上，岸上有多少只鸭子？	960-580=380.0	{鸭子, 960只, 580只, 水中, 岸上}
贝贝今年9岁，爷爷的年龄加上5，再乘以3，然后除以10，再减去12，正好是贝贝的岁数．请问爷爷今年多少岁？	(9+12)*10/3-5=65.0	{贝贝, 9岁, 爷爷, 年龄, 加上, 5, 乘以, 3, 除以, 10, 减去, 12, 岁}
今年参加数学兴趣小组的同学比去年增加了12%，今年参加数学兴趣小组的同学是去年的百分之几？	1+12%=1.12	{今年, 数学兴趣小组, 同学, 去年, 增加, 12%, 百分之几}
某工程队铺一条地下石油管道，前2天共铺了350米，剩下的850米只用4天就铺完了．这个工程队平均每天铺多少米？	(350+850)/(2+4)=200.0	{工程队, 铺, 地下石油管道, 前2天, 350米, 剩下, 850米, 4天, 铺完, 平均, 每天, 铺, 米}
336-64再除以16，商=？	(336-64)/16=17.0	{336, -64, 除以, 16, 商}
服装店的上衣每件68元，裤子每条57元，“5一”黄金周一共卖出8套这样的服装，一共卖了多少钱？	(68+57)*8=1000.0	{服装店, 上衣, 68元, 裤子, 57元, “5一”黄金周, 8套, 服装, 卖了, 多少钱}
一个数增加它的15%是4.6，这个数=．	4.6/(1+15%)=4.0	{增加，15%，4.6，数}
10米长的一块白布，用去了3.3米．从剩下的上面再剪去2.85米．还剩下多少米？	10-3.3-2.85=3.85	{10米, 白布, 用去, 3.3米, 剩下, 剪去, 2.85米}
比3.5的8倍多2.5的数=．	3.5*8+2.5=30.5	{比, 3.5, 的, 8倍, 多, 2.5, 的, 数}
小云爬青云山，上下山共用4小时，如果他上山用了2.4小时，按原路下山速度每小时7.5千米，他上山的速度=多少千米/时．	7.5*(4-2.4)/2.4=5.0	{小云, 青云山, 上下山, 4小时, 上山, 2.4小时, 下山, 速度, 每小时, 7.5千米, 速度}
A是B的(1/5)，C是B的(1/4)，A是C的多少．	(1/5)/(1/4)=0.8	{A, B, 1/5, C, 1/4, A, C}
小明看一本书，已经看了115页，剩下的每天看20页，15天看完．这本书一共多少页？	20*15+115=415.0	{小明, 看一本书, 已经, 115页, 剩下, 每天, 20页, 15天, 看完, 一共, 多少页}
打一部书稿．第一天打了12页，第二天打了13页．两天共打了这部书稿的(5/48)．这部书稿有多少页？	(12+13)/(5/48)=240.0	{书稿, 打, 第一天, 12页, 第二天, 13页, 两天, 共打, 5/48}
甲、乙两车同时从相距162千米的两地出发，相对而行，甲车每小时行驶60千米，乙车的速度是甲车的(4/5)．多少上时后两车相遇？	162/(60+60*(4/5))=1.5	{甲, 乙, 两车, 相距, 162千米, 两地, 出发, 相对而行, 甲车, 每小时, 行驶, 60千米, 乙车, 速度, (4/5), 多少, 时, 后, 相遇}
2009年芳芳9岁了，她的出生年份=．	2009-9=2000.0	{2009年, 芳芳, 9岁, 出生年份}
用一个自然数去除715和903所得余数相同，且商相差4．求这个数=．	(903-715)/4=47.0	{自然数，除，715，903，余数，相同，商，相差，4}
8.7与3.7的差乘6.32+3.68的和，积=？	(8.7-3.7)*(6.32+3.68)=50.0	{差，乘，和，积}
一批零件的合格率为98%．如果合格的零件是392个，那么这批零件一共有多少个？	392/98%=400.0	{合格率, 98%, 合格, 零件, 392个, 这批零件}
如果一个等腰三角形的两条边分别是3厘米和7厘米，这个三角形的周长=多少厘米．	7+7+3=17.0	{等腰三角形, 两条边, 3厘米, 7厘米, 周长}
甲乙两人同时从两地相向而行，甲骑自行车每小时行15千米，乙骑摩托车每小时行45千米，甲在离出发地点30千米处与乙相遇．两地相距多少千米？	30/15*(15+45)=120.0	{甲, 乙, 同时, 两地, 相向而行, 骑自行车, 每小时, 15千米, 骑摩托车, 45千米, 离出发地点, 30千米, 相遇, 两地, 相距, 千米}
251-182的差除69，商=？	69/(251-182)=1.0	{差, 除, 商}
校园里有松树20棵，杨树比松树多14棵，杨树和松树一共有多少棵．	20+14+20=54.0	{校园, 松树, 20棵, 杨树, 比松树多, 14棵, 一共}
新建成的广州塔是目前世界最高的电视塔，它高610米，比北京的中央广播电视塔还要高出205米，北京中央广播电视塔高多少米？	610-205=405.0	{广州塔，世界最高，电视塔，610米，北京，中央广播电视塔，205米}
一桶油，第一次用去(2/5)，第二次用去(1/3)，还剩8千克．这桶油多少千克？	8/(1-(2/5)-(1/3))=30.0	{一桶油，第一次，用去，2/5，第二次，用去，1/3，还剩，8千克，多少千克}
在中小学生体质健康测试中，华兴小学体质达标人数有540人，正好占全校总人数的(3/5)，全校共有学生多少人？	540/(3/5)=900.0	{中小学生体质健康测试, 华兴小学, 体质达标, 540人, 占, 全校总人数, 3/5}
一本故事书有193页，笑笑已经看了65页，如果剩下的笑笑打算8天看完，每天要看多少页？	(193-65)/8=16.0	{故事书, 193页, 笑笑, 看了, 65页, 剩下, 8天, 看完, 每天要看, 页}
牧场养山羊和奶羊，其中山羊360只，是奶羊的3倍．山羊和奶羊共多少只？	360/3+360=480.0	{牧场，养，山羊，奶羊，360只，3倍，共，多少只}
一张书桌175元，一把椅子58元，学校要买5套桌椅，一共要花多少钱？	(175+58)*5=1165.0	{书桌, 175元, 椅子, 58元, 学校, 买, 5套, 桌椅, 一共, 花多少钱}
商店运来一批水果，上午卖去了180千克，下午又卖去了240千克，这一天共卖去这批水果的(3/8)，这批水果有多少千克？	(180+240)/(3/8)=1120.0	{商店, 水果, 上午, 卖去, 180千克, 下午, 卖去, 240千克, 这一天, 共卖去, 3/8, 千克}
修一条公路，已经修了全长的(3/4)，正好是30千米，这条公路全长多少千米？	30/(3/4)=40.0	{修, 公路, 已经修, 全长, 3/4, 30千米, 多千米}
定做一套校服，上衣51元，裤子39元．吴城小学四年级共有180名学生，给每人定做一套这样的校服共需多少元？	(51+39)*180=16200.0	{定做, 校服, 上衣, 51元, 裤子, 39元, 吴城小学, 四年级, 180名, 学生, 共需, 元}
农场今年养鸭5000只，比去年多养1000只．这两年共养鸭多少只？	5000-1000+5000=9000.0	{农场, 养鸭, 5000只, 比去年, 多养, 1000只, 这两年, 共养}
一艘轮船，从南京驶往向阳渔港，每小时行驶20千米，10小时到达；回来时，每小时行驶25千米，几小时可以回到南京？	20*10/25=8.0	{轮船，南京，向阳渔港，每小时，20千米，10小时，到达，回来，25千米，几小时，回到}
一支圆珠笔的价格乘3，再减去0.5元，就和一支钢笔的价格相同，一支钢笔的价格是10元，一支圆珠笔的价格=多少元？	(10+0.5)/3=3.5	{圆珠笔, 价格, 乘3, 减去, 0.5元, 钢笔, 10元}
计划修路600米，20小时内完成；实际3小时就完成了20%．照这样计算，能在计划时间内完成？为什么？	1/20%*3=15.0	{计划, 修路, 600米, 20小时, 完成, 实际, 3小时, 20%, 计算完成, 计划时间}
灰太狼把一段木料锯成了5段，用了16分钟．照这样计算，我把这根木料锯成8段，共需要多少分钟？	16/(5-1)*(8-1)=28.0	{灰太狼, 木料, 锯, 5段, 16分钟, 计算, 8段, 分钟}
某糖厂去年生产白糖400吨，今年生产白糖480吨，今年生产白糖比去年多几分之几？	(480-400)/400=0.2	{白糖, 去年, 生产, 400吨, 今年, 480吨, 多, 几分之几}
电影票15元一张，降价后观众增加一倍，收入增加(1/5)，每张票价降价多少．	15-(1+(1/5))/(1+1)*15=6.0	{电影票, 15元, 一张, 降价, 观众, 增加, 一倍, 收入, 增加, 1/5, 每张票价, 降价, 多少}
学校去年栽树苗250棵，这批树苗的成活率是80%，求这批树苗有多少棵成活？	250*80%=200.0	{学校, 去年, 栽树苗, 250棵, 成活率, 80%, 棵成活}
六年级同学到垃圾发电站去参观学习，每辆车能坐58人．已知六年级有男生218人，女生188人，需要几辆这样的客车？（用综合算式解答）	(218+188)/58=7.0	{六年级, 同学, 垃圾发电站, 参观学习, 每辆车, 58人, 六年级, 男生, 218人, 女生, 188人, 需要几辆, 客车}
甲、乙两人沿着直径是100米的环形跑道同时同地背向而行，甲出发3分钟后首次与乙相遇，首次相遇时乙走了全程的40%，甲每分钟走多少米？	100*3.14*(1-40%)/3=62.8	{甲, 乙, 直径, 100米, 环形跑道, 背向而行, 出发, 3分钟, 首次, 相遇, 全程, 40%, 每分钟, 走, 米}
社区学校计划每天节约18度电，现在每天比计划多节约4度电，照这样计算，一个月一共能节约多少度电？（一个月按22天计算）	(18+4)*22=484.0	{社区学校, 每天节约, 18度电, 多节约, 4度电, 一个月, 22天}
学校买来6盒乒乓球，共是30个，平均每盒有多少个？	30/6=5.0	{学校, 买来, 6盒, 乒乓球, 共, 30个, 平均, 每盒, 有多少个}
贝贝每分钟打字250个，要打完1000个字的一份文件，要打多少分钟．	1000/250=4.0	{贝贝, 打字, 250个, 每分钟, 1000个字, 文件, 多少分钟}
养鱼池里有140条红金鱼，比黄金鱼少45条，黄金鱼有多少条？	140+45=185.0	{养鱼池, 140条, 红金鱼, 比黄金鱼, 少45条, 黄金鱼}
学校购买了一批数学作业本，把它们分给低、中、高3个年级，低年级分得180本，中年级分得360本，高年级分得46%，这批作业本共有多少本？	(180+360)/(1-46%)=1000.0	{学校, 数学作业本, 分给, 低年级, 180本, 中年级, 360本, 高年级, 46%, 共有}
小东从家走到学校要23分钟，他步行的速度大约是55米/分，小东家离学校大约有多少米．	55*23=1265.0	{小东, 家, 走, 学校, 23分钟, 步行, 速度, 55米/分, 离, 大约, 米}
某班8名运动员参加跳绳比赛，前7名运动员平均每人跳125下，要使所有运动员平均每人跳的下数达到128下，最后一名运动员必须多少下？	128*8-125*7=149.0	{运动员，跳绳比赛，8名，前7名，平均，125下，所有，128下，最后一名，必须，下数}
赤壁公园上午有游客762人，中午有275人离去，下午又来了408位游客，这时公园内有多少位游客？	762-275+408=895.0	{赤壁公园, 上午, 游客, 762人, 中午, 275人, 离去, 下午, 408位, 游客, 公园内}
某天，如果1美元兑换6.98人民币．那么多少元人民币可兑换成200美元．	6.98*200=1396.0	{某天, 1美元, 兑换, 6.98人民币, 200美元, 元人民币}
一块钢材的(3/4)重300千克，这块钢材重多少千克？	300/(3/4)=400.0	{钢材，3/4，重，300千克，多少千克}
一根电线长40米，先用去它的40%，再用去(3/4)米，还剩多少米．	40-40*40%-(3/4)=23.25	{电线, 长, 40米, 用去, 40%, 3/4米, 剩余}
军军的妈妈今年32岁，他外公的年龄是妈妈的2倍．军军的妈妈和外公今年一共多少岁？	32*(2+1)=96.0	{军军，妈妈，32岁，外公，2倍，一共，岁}
人的心脏的跳动次数随着年龄的变化而变化．青少年每分约跳77次，婴儿每分跳动的次数比青少年多(4/7)．婴儿每分心跳多少次？	77*(1+(4/7))=121.0	{人的心脏, 跳动次数, 年龄, 青少年, 77次, 婴儿, (4/7), 多}
定期一年的储蓄的年利率是2.25%，小刚把800元压岁钱存定期一年，到期后，可以得到利息多少元．	800*2.25%*1=18.0	{定期, 储蓄, 年利率, 2.25%, 小刚, 800元, 压岁钱, 存, 到期, 利息}
一个梯形上底和下底的和是15米，高3米，它的面积=多少m^2．	15*3/2=22.5	{梯形, 上底, 下底, 和, 15米, 高, 3米, 面积, m^2}
利农化肥厂6月份实际生产化肥300吨，比计划多生产60吨，超过计划百分之几？	60/(300-60)=0.25	{利农化肥厂, 6月份, 实际生产, 化肥, 300吨, 比计划, 多生产, 60吨, 超过计划, 百分之几}
学校植树节时准备栽999棵树，4、5、六年级的同学们已经栽了699棵，剩下的由四年级的6个班完成，平均每个班栽几棵树？	(999-699)/6=50.0	{学校, 植树节, 栽, 999棵树, 4、5、六年级, 699棵, 剩下, 四年级, 6个班, 平均, 每个班, 栽树}
第一次用去一根铁丝的(2/5)，第二次用去这根铁丝的(2/7)，还剩下这根铁丝的多少．	1-(2/5)-(2/7)=0.3142857142857143	{第一次, 铁丝, 2/5, 第二次, 2/7, 剩下}
学校计划投资200万元建造活动大楼，实际投资180万元，实际投资节约了百分之几？	(200-180)/200=0.1	{学校, 计划投资, 200万元, 建造, 活动大楼, 实际投资, 180万元, 节约, 百分之几}
一个果园共有果树480棵，其中苹果树占17%，梨树占25%，桃树占28%．其余的是杏树，杏树有多少棵？	480*(1-17%-25%-28%)=144.0	{果园, 480棵, 果树, 苹果树, 17%, 梨树, 25%, 桃树, 28%, 其余, 杏树}
电视机厂5月份计划生产电视机2000台，结果多生产500台．超产百分之几？	500/2000=0.25	{电视机厂, 5月份, 计划生产, 电视机, 2000台, 结果, 多生产, 500台, 超产, 百分之几}
水结成冰后，体积增加10%．一块体积是2.2立方米的冰，融化成水后的体积=多少立方米？	2.2/(1+10%)=2.0	{水, 结成冰, 体积, 增加, 10%, 2.2立方米, 冰, 融化, 水后, 体积}
给服装钉扣子，每套服装钉5颗，钉完15套后还剩3颗，一共买了多少颗扣子？	5*15+3=78.0	{服装, 钉扣子, 每套, 5颗, 15套, 剩3颗, 买了, 多少颗, 扣子}
学校饲养组养白兔和黑兔共28只，其中白兔占(3/7)．黑兔有多少只？	28*(1-(3/7))=16.0	{学校, 饲养, 组, 白兔, 黑兔, 28只, 占, 3/7, 黑兔, 有多少只}
小明从家到学校有1.16千米，他走了10分钟，每分钟走0.06千米，剩下的路程他要8分钟走完，剩下的路程他每分钟走多少千米？	(1.16-10*0.06)/8=0.07	{小明, 家, 学校, 1.16千米, 10分钟, 每分钟, 0.06千米, 剩下的路程, 8分钟, 走完, 每分钟走, 千米}
甲、乙两地间铁路长693千米．一列客车和一列货车分别从两地同时在上午9时开出，相对而行．客车每小时行70千米，货车每小时行56千米．经过几小时两车相遇？	693/(70+56)=5.5	{甲，乙，两地，铁路，长，693千米，一列客车，一列货车，同时，上午9时，开出，相对而行，客车，每小时，行，70千米，货车，56千米，经过，几小时，两车，相遇}
玲玲和冬冬分别住在学校的东西方向，两家相距800米．放学时两人同时从学校出发，经过4分钟，两人同时到家，冬冬每分钟走80米，玲玲每分钟走多少米？	(800-80*4)/4=120.0	{玲玲, 冬冬, 学校, 东西方向, 相距, 800米, 放学, 出发, 经过, 4分钟, 到家, 每分钟, 走, 80米}
某小学植杨树和柳树共756棵，种的杨树和柳树的棵数的比是4：5，种杨树多少棵？	756*((4)/(4+5))=336.0	{小学, 植杨树, 柳树, 756棵, 比是4：5, 种杨树, 多少棵}
某商品按定价出售，每个可获利润45元．如果按定价的70%出售10个，与按定价每个减价25元出售12个所获得的利润一样多，那么这种商品每个定价多少元．	(45-12*(45-25)/10)/(1-70%)=70.0	{商品, 定价, 利润, 45元, 70%, 出售, 10个, 减价, 25元, 12个, 定价}
星星玩具厂计划生产一批玩具猫给百安商场，每天生产500件，20天可完成任务．后来根据商场要求提前4天完成．实际平均每天生产多少件？	500*20/(20-4)=625.0	{星星玩具厂, 生产, 玩具猫, 百安商场, 每天, 500件, 20天, 完成任务, 提前, 4天, 实际, 平均, 每天, 生产}
实验小学美术组人数是科技组的(5/6)，科技组人数是体育组的(4/3)．美术组有40人，体育组有多少人？	40/(5/6)/(4/3)=36.0	{实验小学, 美术组, 人数, 科技组, 5/6, 4/3, 40人, 体育组}
一个数的2倍+12的75%，等于14，求这个数．	(14-12*75%)/2=2.5	{数的, 2倍, +, 12, 的, 75%, 等于, 14, 求这个数}
五年级同学收集树种56千克，六年级收集的比五年级多(4/7)，六年级比五年级多收集树种多少千克？	56*(4/7)=32.0	{五年级, 收集, 树种, 56千克, 六年级, 比, 多, 4/7, 多收集, 千克}
一个平行四边形的面积是13.5平方厘米，高是1.5厘米，底=多少厘米．	13.5/1.5=9.0	{平行四边形，面积，13.5平方厘米，高，1.5厘米，底}
李阿姨是一名导游，今天她接待了一个东南亚旅游团，一共有280人，安排的旅游车每辆限乘客40人，每辆车的租金为300元．李阿姨需要付租金多少元？	280/40*300=2100.0	{李阿姨, 导游, 东南亚旅游团, 280人, 旅游车, 限乘客, 40人, 车租金, 300元}
18位同学合影留念，拍照需要26.4元，可以有3张照片，如果现在每人要1张照片，就需要加印，加印一张照片要0.64元，平均每人应付多少元？	((18-3)*0.64+26.4)/18=2.0	{18位同学, 合影留念, 26.4元, 3张照片, 每人1张, 加印, 0.64元, 平均, 每人应付}
小林有36枚邮票，小新的邮票是小林的(5/6)，小明的邮票是小新的(4/3)，小明有多少枚邮票？	36*(5/6)*(4/3)=40.0	{小林, 36枚, 邮票, 小新, 5/6, 小明, 4/3}
同学们进行体操表演，每排10人，有15排，一共有多少人？	10*15=150.0	{同学们, 体操表演, 每排, 10人, 15排, 一共, 多少人}
郧县服装厂接到生产1200件衬衫的任务，前3天完成了40%，照这样计算，完成生产任务还要多少天？	1200*(1-40%)/(1200*40%/3)=4.5	{郧县, 服装厂, 生产, 1200件, 衬衫, 任务, 完成, 40%, 计算天数}
某学校有学生1520人，每个班40名学生，每个班级一天上6节课，平均每个教师一天教3节课，那么这所学校至少需要配备多少名教师．	(1520/40)*6/3=76.0	{学生, 1520人, 班级, 40名学生, 6节课, 教师, 3节课, 配备, 教师}
在一个周长是480米的操场周围植树，每隔5米栽一棵，一共要栽多少棵树？	480/5=96.0	{周长, 480米, 操场, 周围, 植树, 每隔, 5米, 栽一棵, 一共, 栽, 多少棵, 树}
一大包味精比一小包的4倍多10克，一小包味精30克，一大包味精=多少克？	30*4+10=130.0	{一大包味精, 小包, 4倍多, 10克, 一小包味精, 30克, =, 多少克}
一个平行四边形的底长(2/7)米，高3米，它的面积=多少平方米？	(2/7)*3=0.8571428571428571	{平行四边形，底长，(2/7)米，高，3米，面积，平方米}
一种冰箱原价是2250元，“5一”期间0.7出售，现在售价多少元？	2250*0.7=1575.0	{冰箱，原价，2250元，"5一"，0.7，出售，现在售价}
服装商店用1800元进来一批衬衫，按20%的利润定价，能获利润多少元．	1800*20%=360.0	{服装商店, 1800元, 进来, 一批, 衬衫, 20%, 利润, 定价, 获利润, 多少元}
某小学6（1）班有女生21人，是男生人数的(7/8)，这个班有多少名学生？	21/(7/8)+21=45.0	{女生, 21人, 男生, 7/8, 学生}
我县努力创建“绿色工贸城市”，在宣传活动中，我校5、六年级参加活动的人数比是3：4，六年级的120人，五年级有多少人参加．	120/4*3=90.0	{我县，创建，绿色工贸城市，宣传活动，我校，5、六年级，参加活动，人数比，3：4，六年级，120人，五年级，多少人}
一个儿童体内所含的水分有28千克，占体重的(4/5)．这个儿童的体重=多少千克？	28/(4/5)=35.0	{儿童、水分、28千克、体重、4/5、多少千克}
二年级同学去看电影，买了82张票，后来退了9张．二年级有多少同学看了电影．	82-9=73.0	{二年级，同学，看，电影，买了，82张，票，退了，9张}
一列火车每小时行使126千米，一辆汽车每小时行使42千米，火车的速度是汽车的几倍？	126/42=3.0	{火车, 每小时, 126千米, 汽车每小时, 42千米, 速度, 几倍}
0.25/3.75的商减去1.8*4.5的积，差=？	3.75/0.25-1.8*4.5=6.9	{提取, 0.25, 3.75, 商, 减去, 1.8, 4.5, 积, 差}
果园今年种果树200棵，成活率是98%．死了多少棵．	200*(1-98%)=4.0	{果园, 种, 果树, 200棵, 成活率, 98%, 死了, 多少棵}
一辆汽车从甲地出发，第一天走了全程的(3/8)，第二天走了余下的(2/3)，第3天走了250千米到达乙地．甲乙两地相距多少千米？	250/(1-(3/8)-(1-(3/8))*(2/3))=1200.0	{汽车、甲地、出发、第一天、全程、3/8、第二天、余下、2/3、第3天、250千米、到达、乙地、相距}
学校买8个篮球和3个足球，每个篮球52.4元，每个足球45.1元，一共要花多少元？	52.4*8+45.1*3=554.5	{学校, 买, 8个, 篮球, 3个, 足球, 每个篮球, 52.4元, 每个足球, 45.1元, 一共, 要花, 多少元}
某超市从厂家以每件21元的价格购进一批商品，该超市可以自行定价，但物价局限定每件商品加价不能超过进价的20%，则这批商品的售价不能超过多少元．	21*(1+20%)=25.2	{超市, 厂家, 每件, 21元, 价格, 购进, 商品, 定价, 物价局, 限制, 加价, 20%, 售价, 不能超过, 多少元}
大型体操表演，一共排了25排，每排36人．每50人穿同一种颜色的衣服，一共要准备多少种不同颜色的衣服？	36*25/50=18.0	{大型体操表演，25排，每排36人，50人，同一种颜色，衣服，多少种，颜色}
木工组修课桌，已经修好了35张，还要再修16张，他们一共要修多少张课桌？	35+16=51.0	{木工组, 修, 课桌, 35张, 还要, 16张, 一共, 要修}
一条水渠已修了17千米，还剩下13千米没有修，未修的占全长的多少．	13/(13+17)=0.43333333333333335	{水渠, 修, 17千米, 剩下, 13千米, 未修, 占, 全长}
六年级同学进行体育达标测试，在第一次达标测试中(4/7)的同学达到了标准，经一个月锻炼后，没达标的同学又参加了第二次达标测试，结果参加人数的(5/6)都达到了标准，只余下8名同学没有达标．请算一算，六年级共有多少名同学？	8/(1-(5/6))/(1-(4/7))=112.0	{六年级，体育达标测试，第一次，4/7，标准，一个月，锻炼，第二次，5/6，8名，同学，共，多少名}
一个西瓜平均分成5块，玲玲吃了3块，强强吃了2块，两人一共吃了西瓜的几分之几？	(3+2)/5=1.0	{西瓜, 平均分成, 5块, 玲玲, 吃了, 3块, 强强, 2块, 两人, 一共, 吃了, 几分之几}
商店运来960千克苹果，比运来的梨重(1/4)，运来的梨多少千克．	960/(1+(1/4))=768.0	{商店, 运来, 960千克, 苹果, 比运来, 梨, 重, 1/4, 运来, 梨, 多少千克}
把10.6缩小到它的(1/100)，再扩大到它的10倍=．	10.6*(1/100)*10=1.06	{缩小, 1/100, 扩大, 10倍}
两城市相距675千米，甲、乙两客车分别从两城市同时相对开出，经过7.5小时相遇．已知甲车每小时行驶42千米，求乙车每小时行驶多少千米？	(675-42*7.5)/7.5=48.0	{两城市, 相距, 675千米, 甲, 乙, 客车, 同时, 相对, 开出, 经过, 7.5小时, 相遇, 已知, 甲车, 每小时, 行驶, 42千米, 求乙车, 行驶, 千米}
学校图书馆有科技书358本，比故事书少274本．故事书有多少本？	358+274=632.0	{学校图书馆, 科技书, 358本, 比故事书少, 274本, 故事书}
小云有漫画书40本，故事书的本数比漫画书少(3/5)．小云的故事书比漫画书少多少本？	40*(3/5)=24.0	{小云, 漫画书, 40本, 故事书, 比漫画书少, (3/5)}
王师傅要生产400个零件，已经完成了总数的95%，为了超产20%，还需要加工多少个零件？	400*(1+20%-95%)=100.0	{王师傅, 生产, 400个, 零件, 完成, 总数, 95%, 超产, 20%, 加工}
一件西装标价800元，现0.75销售，现价=多少元．	800*0.75=600.0	{西装, 标价, 800元, 0.75, 销售, 现价}
刘奶奶从银行购得年率为3.7%的3年期国债40000元，约定每年取一次利息，每年应得利息多少元？	40000*3.7%*1=1480.0	{刘奶奶，银行，购得，年率，3.7%，3年期，国债，40000元，约定，每年，取一次，利息，每年应得利息}
新华书店新运进一批文艺书，第一天卖出138本，第二天比第一天少卖出(1/6)．两天一共卖出多少本？	138*(1-(1/6))+138=253.0	{新华书店, 文艺书, 第一天, 卖出, 138本, 第二天, 少卖出, 1/6, 两天, 一共卖出}
王阿姨带100元钱去买菜，买荤菜用去28.7元，买素菜比荤菜少用去6.3元．买两样菜一共用去多少元？	28.7+(28.7-6.3)=51.1	{王阿姨, 100元, 买菜, 荤菜, 28.7元, 素菜, 少用, 6.3元, 买两样菜, 一共用去}
沿着家里客厅的长边，我从一头走到另一头，大约要走9步．我的1步大约长4分米，家里客厅大约长多少分米？	4*9=36.0	{家里客厅, 长边, 走, 9步, 1步, 4分米, 长}
一列火车从甲站开往乙站，4.5小时行全程的(5/6)，照这样计算，还要几小时可以到达乙站？	1/((5/6)/4.5)-4.5=0.9	{火车, 甲站, 乙站, 4.5小时, 全程, 5/6, 计算, 小时, 到达}
汽车从甲地开往乙地，当行了全程的(6/11)时，离乙地还有75千米．甲、乙两地相距多少千米？	75/(1-(6/11))=165.0	{汽车}{甲地}{开往}{乙地}{行了}{全程}{6/11}{离}{乙地}{还有}{75千米}{甲}{乙}{两地}{相距}{多少千米}
4/5000-4708的差，商=？	(5000-4708)/4=73.0	{差，商，4/5000，4708}
足球有18只，篮球的数量是足球的3倍多13，篮球有多少只？	18*3+13=67.0	{足球, 18只, 篮球, 3倍, 13, 篮球数量}
大楼高29.2米，一楼准备开商店，层高4米，上面9层是住宅．住宅每层高多少米？	(29.2-4)/9=2.8	{大楼，高，29.2米，一楼，商店，层高，4米，上面，9层，住宅，每层，高}
修路队修一条6千米的公路，第一周修了(3/4)km，第二周修了(5/6)km，还剩下多少千米没有修？	6-(3/4)-(5/6)=4.416666666666667	{修路队, 修, 一条, 6千米, 公路, 第一周, 修了, 3/4, km, 第二周, 5/6, km, 还剩下, 多少, 千米, 没有修}
某工厂计划投资200万元，实际节约10万元．实际投资是计划的百分之几？	(200+10)/200=1.05	{工厂, 投资, 200万元, 节约, 10万元, 实际, 百分之几}
一本书640页，3天看了它的(3/8)，照这样的速度还要几天才能看完这本书？	(1-(3/8))/((3/8)/3)=5.0	{一本书, 640页, 3天, 看了, 3/8, 速度, 还要, 几天, 看完}
把160千克水泥装袋，装好6袋后还剩10千克，平均每袋装多少千克？	(160-10)/6=25.0	{160千克, 水泥, 装袋, 6袋, 剩10千克, 平均, 每袋, 多少千克}
四年级8个班的同学要去植树，每班有5个组，共植树880棵树，每个组植树多少棵？	880/(8*5)=22.0	{四年级, 8个班, 同学, 植树, 每班, 5个组, 共, 880棵树, 每个组, 植树, 多少棵}
把一根小棒锯成相等的，共锯了4次，每段是这根小棒的多少．	1/(4+1)=0.2	{小棒, 锯, 相等, 4次, 每段, 多少}
一根钢管长(7/6)米，比另一根短(1/3)米，这两根钢管共长多少米？	(7/6)+(1/3)+(7/6)=2.6666666666666665	{钢管, 长, (7/6)米, 比另一根, 短, (1/3)米, 共长, 多少米}
甲乙两数的比是2：5，乙数与甲数的差是10.5，乙数=．	10.5/(5-2)*5=17.5	{甲, 乙, 两数, 比, 2:5, 乙数, 甲数, 差, 10.5, 乙数=}
修一条公路，第一天修了全长的40%，第二天修了全长的37.5%，还剩180米没有修，这条公路共长多少米．	180/(1-40%-37.5%)=800.0	{修一条公路，第一天，40%，第二天，37.5%，还剩，180米，共长}
一个数的(3/5)比3.6多12，求这个数．	(12-3.6)/(3/5)=14.0	{数的, 3/5, 比, 3.6, 多, 12, 求}
六年级有120名同学，其中75%的同学达到了国家体育锻炼标准，还有多少名同学没有达到国家体育锻炼标准？	120*(1-75%)=30.0	{六年级, 120名, 同学, 75%, 达到, 国家体育锻炼标准, 还有, 多少名, 同学, 没有达到}
一条毛毛虫由幼虫长成成虫，每天长大一倍，30天能长到20厘米，长到5厘米时要用多少．	30-1-1=28.0	{毛毛虫, 幼虫, 成虫, 每天, 长大, 一倍, 30天, 20厘米, 5厘米}
